kind,page_href,page_title,h1,nav_text,local_id,official_id,ordinal_in_page,official_caption_or_headers,caption_status,nearest_heading,context_en,rows,cols,n_imgs,workflow_phase,practical_reading_ja,mlflow_links,source_page_url,source_repo_url,image_storage_policy
figure,bioassay/bioassay.html,Bioassay case study – Bayesian Workflow book,Bioassay case study,Sec 3.5: Bioassay,bioassay-bioassay/fig-bioassay-posterior-conditional_effects-data-brms,fig-bioassay-posterior-conditional_effects-data-brms,9,Figure 9,label_only,6 brms model and inference,We can add data points with ggplot::geom_point() .,,,1,EDA / observed data,モデル化前に、観測単位・外れ値・欠測・群構造・時系列性・上限/下限などを確認する。MLflowではデータ版と前処理版を固定する。,"dataset_uri, dataset_hash, preprocessing_version, n_obs, group_count",https://avehtari.github.io/Bayesian-Workflow/bioassay/bioassay.html#fig-bioassay-posterior-conditional_effects-data-brms,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/bioassay/bioassay.R,link_only_no_binary_copy_for_crc_book_site
figure,bioassay/bioassay.html,Bioassay case study – Bayesian Workflow book,Bioassay case study,Sec 3.5: Bioassay,bioassay-bioassay/fig-bioassay-posterior-conditional_effects-spaghetti-brms,fig-bioassay-posterior-conditional_effects-spaghetti-brms,10,Figure 10,label_only,6 brms model and inference,"We can draw also individual posterior curves with spaghetti=TRUE, ndraws=20 , but then the posterior mean would be computed only from 20 curves. Increasing ndraws would make the pl",,,1,Posterior summary / effect interpretation,推定効果・不確実性・派生量を意思決定に接続する。平均だけでなく区間・分布・実務閾値超過確率を残す。,"posterior_draws_uri, model_code_hash, ci_width, decision_threshold_prob",https://avehtari.github.io/Bayesian-Workflow/bioassay/bioassay.html#fig-bioassay-posterior-conditional_effects-spaghetti-brms,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/bioassay/bioassay.R,link_only_no_binary_copy_for_crc_book_site
figure,bioassay/bioassay.html,Bioassay case study – Bayesian Workflow book,Bioassay case study,Sec 3.5: Bioassay,bioassay-bioassay/fig-bioassay-posterior-marginaleffects-brms,fig-bioassay-posterior-marginaleffects-brms,11,Figure 11,label_only,6 brms model and inference,"marginaleffects package also provides function for plotting the posterior prediction and uncertainty. By default it predicts on the scale of actual outcome, but as all batch sizes",,,1,Posterior summary / effect interpretation,推定効果・不確実性・派生量を意思決定に接続する。平均だけでなく区間・分布・実務閾値超過確率を残す。,"posterior_draws_uri, model_code_hash, ci_width, decision_threshold_prob",https://avehtari.github.io/Bayesian-Workflow/bioassay/bioassay.html#fig-bioassay-posterior-marginaleffects-brms,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/bioassay/bioassay.R,link_only_no_binary_copy_for_crc_book_site
figure,bioassay/bioassay.html,Bioassay case study – Bayesian Workflow book,Bioassay case study,Sec 3.5: Bioassay,bioassay-bioassay/fig-bioassay-LD50-quantile-dots-brms,fig-bioassay-LD50-quantile-dots-brms,12,Figure 12,label_only,7 LD50 posterior,Quantile dot plot of the LD50 (mg/ml) posterior.,,,1,Posterior summary / effect interpretation,推定効果・不確実性・派生量を意思決定に接続する。平均だけでなく区間・分布・実務閾値超過確率を残す。,"posterior_draws_uri, model_code_hash, ci_width, decision_threshold_prob",https://avehtari.github.io/Bayesian-Workflow/bioassay/bioassay.html#fig-bioassay-LD50-quantile-dots-brms,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/bioassay/bioassay.R,link_only_no_binary_copy_for_crc_book_site
figure,bioassay/bioassay.html,Bioassay case study – Bayesian Workflow book,Bioassay case study,Sec 3.5: Bioassay,bioassay-bioassay/fig-bioassay-LD50-KDE-brms,fig-bioassay-LD50-KDE-brms,13,Figure 13,label_only,7 LD50 posterior,Kernel density plot of the LD50 (mg/ml) posterior.,,,1,Posterior summary / effect interpretation,推定効果・不確実性・派生量を意思決定に接続する。平均だけでなく区間・分布・実務閾値超過確率を残す。,"posterior_draws_uri, model_code_hash, ci_width, decision_threshold_prob",https://avehtari.github.io/Bayesian-Workflow/bioassay/bioassay.html#fig-bioassay-LD50-KDE-brms,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/bioassay/bioassay.R,link_only_no_binary_copy_for_crc_book_site
figure,multiple_choice/multiple_choice.html,Modeling performance on a multiple choice exam – Bayesian Workflow book,Modeling performance on a multiple choice exam,Ch 4: Modeling performance on a multiple choice exam,multiple-choice-multiple-choice/fig-final_exams_1,fig-final_exams_1,1,Figure 1,label_only,4.1 Base model logit_0,Read in data and construct score for each student,,,1,EDA / observed data,モデル化前に、観測単位・外れ値・欠測・群構造・時系列性・上限/下限などを確認する。MLflowではデータ版と前処理版を固定する。,"dataset_uri, dataset_hash, preprocessing_version, n_obs, group_count",https://avehtari.github.io/Bayesian-Workflow/multiple_choice/multiple_choice.html#fig-final_exams_1,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/multiple_choice/multiple_choice.R,link_only_no_binary_copy_for_crc_book_site
figure,multiple_choice/multiple_choice.html,Modeling performance on a multiple choice exam – Bayesian Workflow book,Modeling performance on a multiple choice exam,Ch 4: Modeling performance on a multiple choice exam,multiple-choice-multiple-choice/fig-final_exams_2,fig-final_exams_2,2,Figure 2,label_only,4.2 Add priors,Read in data and construct score for each student,,,1,EDA / observed data,モデル化前に、観測単位・外れ値・欠測・群構造・時系列性・上限/下限などを確認する。MLflowではデータ版と前処理版を固定する。,"dataset_uri, dataset_hash, preprocessing_version, n_obs, group_count",https://avehtari.github.io/Bayesian-Workflow/multiple_choice/multiple_choice.html#fig-final_exams_2,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/multiple_choice/multiple_choice.R,link_only_no_binary_copy_for_crc_book_site
figure,multiple_choice/multiple_choice.html,Modeling performance on a multiple choice exam – Bayesian Workflow book,Modeling performance on a multiple choice exam,Ch 4: Modeling performance on a multiple choice exam,multiple-choice-multiple-choice/fig-final_exams_2b,fig-final_exams_2b,3,Figure 3,label_only,4.2 Add priors,Read in data and construct score for each student,,,1,EDA / observed data,モデル化前に、観測単位・外れ値・欠測・群構造・時系列性・上限/下限などを確認する。MLflowではデータ版と前処理版を固定する。,"dataset_uri, dataset_hash, preprocessing_version, n_obs, group_count",https://avehtari.github.io/Bayesian-Workflow/multiple_choice/multiple_choice.html#fig-final_exams_2b,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/multiple_choice/multiple_choice.R,link_only_no_binary_copy_for_crc_book_site
figure,multiple_choice/multiple_choice.html,Modeling performance on a multiple choice exam – Bayesian Workflow book,Modeling performance on a multiple choice exam,Ch 4: Modeling performance on a multiple choice exam,multiple-choice-multiple-choice/fig-final_exams_2_challenge,fig-final_exams_2_challenge,4,Figure 4,label_only,4.2 Add priors,Read in data and construct score for each student,,,1,EDA / observed data,モデル化前に、観測単位・外れ値・欠測・群構造・時系列性・上限/下限などを確認する。MLflowではデータ版と前処理版を固定する。,"dataset_uri, dataset_hash, preprocessing_version, n_obs, group_count",https://avehtari.github.io/Bayesian-Workflow/multiple_choice/multiple_choice.html#fig-final_exams_2_challenge,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/multiple_choice/multiple_choice.R,link_only_no_binary_copy_for_crc_book_site
figure,multiple_choice/multiple_choice.html,Modeling performance on a multiple choice exam – Bayesian Workflow book,Modeling performance on a multiple choice exam,Ch 4: Modeling performance on a multiple choice exam,multiple-choice-multiple-choice/fig-final_exams_3,fig-final_exams_3,5,Figure 5,label_only,4.3 Fix the data problems,Read in data and construct score for each student,,,1,EDA / observed data,モデル化前に、観測単位・外れ値・欠測・群構造・時系列性・上限/下限などを確認する。MLflowではデータ版と前処理版を固定する。,"dataset_uri, dataset_hash, preprocessing_version, n_obs, group_count",https://avehtari.github.io/Bayesian-Workflow/multiple_choice/multiple_choice.html#fig-final_exams_3,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/multiple_choice/multiple_choice.R,link_only_no_binary_copy_for_crc_book_site
figure,multiple_choice/multiple_choice.html,Modeling performance on a multiple choice exam – Bayesian Workflow book,Modeling performance on a multiple choice exam,Ch 4: Modeling performance on a multiple choice exam,multiple-choice-multiple-choice/fig-final_exams_4,fig-final_exams_4,6,Figure 6,label_only,4.4 Allow for guessing,Read in data and construct score for each student,,,1,EDA / observed data,モデル化前に、観測単位・外れ値・欠測・群構造・時系列性・上限/下限などを確認する。MLflowではデータ版と前処理版を固定する。,"dataset_uri, dataset_hash, preprocessing_version, n_obs, group_count",https://avehtari.github.io/Bayesian-Workflow/multiple_choice/multiple_choice.html#fig-final_exams_4,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/multiple_choice/multiple_choice.R,link_only_no_binary_copy_for_crc_book_site
figure,multiple_choice/multiple_choice.html,Modeling performance on a multiple choice exam – Bayesian Workflow book,Modeling performance on a multiple choice exam,Ch 4: Modeling performance on a multiple choice exam,multiple-choice-multiple-choice/fig-final_exams_5-1,fig-final_exams_5-1,7,Figure 7,label_only,5.1 Multilevel model,"In preparation for multilevel model, create long dataset",,,1,EDA / observed data,モデル化前に、観測単位・外れ値・欠測・群構造・時系列性・上限/下限などを確認する。MLflowではデータ版と前処理版を固定する。,"dataset_uri, dataset_hash, preprocessing_version, n_obs, group_count",https://avehtari.github.io/Bayesian-Workflow/multiple_choice/multiple_choice.html#fig-final_exams_5-1,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/multiple_choice/multiple_choice.R,link_only_no_binary_copy_for_crc_book_site
figure,multiple_choice/multiple_choice.html,Modeling performance on a multiple choice exam – Bayesian Workflow book,Modeling performance on a multiple choice exam,Ch 4: Modeling performance on a multiple choice exam,multiple-choice-multiple-choice/fig-final_exams_5-2,fig-final_exams_5-2,8,Figure 8,label_only,5.1 Multilevel model,"In preparation for multilevel model, create long dataset",,,1,EDA / observed data,モデル化前に、観測単位・外れ値・欠測・群構造・時系列性・上限/下限などを確認する。MLflowではデータ版と前処理版を固定する。,"dataset_uri, dataset_hash, preprocessing_version, n_obs, group_count",https://avehtari.github.io/Bayesian-Workflow/multiple_choice/multiple_choice.html#fig-final_exams_5-2,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/multiple_choice/multiple_choice.R,link_only_no_binary_copy_for_crc_book_site
figure,multiple_choice/multiple_choice.html,Modeling performance on a multiple choice exam – Bayesian Workflow book,Modeling performance on a multiple choice exam,Ch 4: Modeling performance on a multiple choice exam,multiple-choice-multiple-choice/fig-final_exams_6-1,fig-final_exams_6-1,9,Figure 9,label_only,5.2 Multilevel model with correlation,"In preparation for multilevel model, create long dataset",,,1,EDA / observed data,モデル化前に、観測単位・外れ値・欠測・群構造・時系列性・上限/下限などを確認する。MLflowではデータ版と前処理版を固定する。,"dataset_uri, dataset_hash, preprocessing_version, n_obs, group_count",https://avehtari.github.io/Bayesian-Workflow/multiple_choice/multiple_choice.html#fig-final_exams_6-1,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/multiple_choice/multiple_choice.R,link_only_no_binary_copy_for_crc_book_site
figure,multiple_choice/multiple_choice.html,Modeling performance on a multiple choice exam – Bayesian Workflow book,Modeling performance on a multiple choice exam,Ch 4: Modeling performance on a multiple choice exam,multiple-choice-multiple-choice/fig-final_exams_6-2,fig-final_exams_6-2,10,Figure 10,label_only,5.2 Multilevel model with correlation,"In preparation for multilevel model, create long dataset",,,1,EDA / observed data,モデル化前に、観測単位・外れ値・欠測・群構造・時系列性・上限/下限などを確認する。MLflowではデータ版と前処理版を固定する。,"dataset_uri, dataset_hash, preprocessing_version, n_obs, group_count",https://avehtari.github.io/Bayesian-Workflow/multiple_choice/multiple_choice.html#fig-final_exams_6-2,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/multiple_choice/multiple_choice.R,link_only_no_binary_copy_for_crc_book_site
figure,multiple_choice/multiple_choice.html,Modeling performance on a multiple choice exam – Bayesian Workflow book,Modeling performance on a multiple choice exam,Ch 4: Modeling performance on a multiple choice exam,multiple-choice-multiple-choice/fig-final_exams_7-1,fig-final_exams_7-1,11,Figure 11,label_only,5.3 Multilevel model with correlation using Cholesky,"In preparation for multilevel model, create long dataset",,,1,EDA / observed data,モデル化前に、観測単位・外れ値・欠測・群構造・時系列性・上限/下限などを確認する。MLflowではデータ版と前処理版を固定する。,"dataset_uri, dataset_hash, preprocessing_version, n_obs, group_count",https://avehtari.github.io/Bayesian-Workflow/multiple_choice/multiple_choice.html#fig-final_exams_7-1,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/multiple_choice/multiple_choice.R,link_only_no_binary_copy_for_crc_book_site
figure,multiple_choice/multiple_choice.html,Modeling performance on a multiple choice exam – Bayesian Workflow book,Modeling performance on a multiple choice exam,Ch 4: Modeling performance on a multiple choice exam,multiple-choice-multiple-choice/fig-final_exams_7-2,fig-final_exams_7-2,12,Figure 12,label_only,5.3 Multilevel model with correlation using Cholesky,"In preparation for multilevel model, create long dataset",,,1,EDA / observed data,モデル化前に、観測単位・外れ値・欠測・群構造・時系列性・上限/下限などを確認する。MLflowではデータ版と前処理版を固定する。,"dataset_uri, dataset_hash, preprocessing_version, n_obs, group_count",https://avehtari.github.io/Bayesian-Workflow/multiple_choice/multiple_choice.html#fig-final_exams_7-2,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/multiple_choice/multiple_choice.R,link_only_no_binary_copy_for_crc_book_site
figure,multiple_choice/multiple_choice.html,Modeling performance on a multiple choice exam – Bayesian Workflow book,Modeling performance on a multiple choice exam,Ch 4: Modeling performance on a multiple choice exam,multiple-choice-multiple-choice/fig-final_exams_11,fig-final_exams_11,13,Figure 13,label_only,6.1 Item-response model,"In preparation for multilevel model, create long dataset",,,1,EDA / observed data,モデル化前に、観測単位・外れ値・欠測・群構造・時系列性・上限/下限などを確認する。MLflowではデータ版と前処理版を固定する。,"dataset_uri, dataset_hash, preprocessing_version, n_obs, group_count",https://avehtari.github.io/Bayesian-Workflow/multiple_choice/multiple_choice.html#fig-final_exams_11,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/multiple_choice/multiple_choice.R,link_only_no_binary_copy_for_crc_book_site
figure,multiple_choice/multiple_choice.html,Modeling performance on a multiple choice exam – Bayesian Workflow book,Modeling performance on a multiple choice exam,Ch 4: Modeling performance on a multiple choice exam,multiple-choice-multiple-choice/fig-final_exams_12,fig-final_exams_12,14,Figure 14,label_only,6.2 Item-response model with discrimination parameters,"In preparation for multilevel model, create long dataset",,,1,EDA / observed data,モデル化前に、観測単位・外れ値・欠測・群構造・時系列性・上限/下限などを確認する。MLflowではデータ版と前処理版を固定する。,"dataset_uri, dataset_hash, preprocessing_version, n_obs, group_count",https://avehtari.github.io/Bayesian-Workflow/multiple_choice/multiple_choice.html#fig-final_exams_12,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/multiple_choice/multiple_choice.R,link_only_no_binary_copy_for_crc_book_site
figure,multiple_choice/multiple_choice.html,Modeling performance on a multiple choice exam – Bayesian Workflow book,Modeling performance on a multiple choice exam,Ch 4: Modeling performance on a multiple choice exam,multiple-choice-multiple-choice/fig-final_exams_13,fig-final_exams_13,15,Figure 15,label_only,6.3 Item-response model with discrimination parameters with init,"In preparation for multilevel model, create long dataset",,,1,EDA / observed data,モデル化前に、観測単位・外れ値・欠測・群構造・時系列性・上限/下限などを確認する。MLflowではデータ版と前処理版を固定する。,"dataset_uri, dataset_hash, preprocessing_version, n_obs, group_count",https://avehtari.github.io/Bayesian-Workflow/multiple_choice/multiple_choice.html#fig-final_exams_13,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/multiple_choice/multiple_choice.R,link_only_no_binary_copy_for_crc_book_site
figure,multiple_choice/multiple_choice.html,Modeling performance on a multiple choice exam – Bayesian Workflow book,Modeling performance on a multiple choice exam,Ch 4: Modeling performance on a multiple choice exam,multiple-choice-multiple-choice/fig-irt_displays_1,fig-irt_displays_1,16,Figure 16,label_only,6.3 Item-response model with discrimination parameters with init,IRT plots,,,1,Unclassified / inspect manually,captionが薄い図表。前後の本文・コードchunk・公式ソースを確認して役割を確定する。,"source_page_url, source_repo_url, manual_review_status",https://avehtari.github.io/Bayesian-Workflow/multiple_choice/multiple_choice.html#fig-irt_displays_1,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/multiple_choice/multiple_choice.R,link_only_no_binary_copy_for_crc_book_site
figure,multiple_choice/multiple_choice.html,Modeling performance on a multiple choice exam – Bayesian Workflow book,Modeling performance on a multiple choice exam,Ch 4: Modeling performance on a multiple choice exam,multiple-choice-multiple-choice/fig-irt_displays_2,fig-irt_displays_2,17,Figure 17,label_only,6.3 Item-response model with discrimination parameters with init,IRT plots,,,1,Unclassified / inspect manually,captionが薄い図表。前後の本文・コードchunk・公式ソースを確認して役割を確定する。,"source_page_url, source_repo_url, manual_review_status",https://avehtari.github.io/Bayesian-Workflow/multiple_choice/multiple_choice.html#fig-irt_displays_2,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/multiple_choice/multiple_choice.R,link_only_no_binary_copy_for_crc_book_site
figure,multiple_choice/multiple_choice.html,Modeling performance on a multiple choice exam – Bayesian Workflow book,Modeling performance on a multiple choice exam,Ch 4: Modeling performance on a multiple choice exam,multiple-choice-multiple-choice/fig-multiplechoice_prior_predictive_1,fig-multiplechoice_prior_predictive_1,18,Figure 18,label_only,7 Prior predictive simulations,IRT plots,,,1,Prior / prior predictive,事前分布が現実的なデータ範囲を生成するかを見る。現場導入前に、あり得ない予測の比率をゲート化する。,"prior_spec_id, prior_predictive_seed, simulated_n, implausible_rate",https://avehtari.github.io/Bayesian-Workflow/multiple_choice/multiple_choice.html#fig-multiplechoice_prior_predictive_1,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/multiple_choice/multiple_choice.R,link_only_no_binary_copy_for_crc_book_site
figure,multiple_choice/multiple_choice.html,Modeling performance on a multiple choice exam – Bayesian Workflow book,Modeling performance on a multiple choice exam,Ch 4: Modeling performance on a multiple choice exam,multiple-choice-multiple-choice/fig-multiplechoice_prior_predictive_2,fig-multiplechoice_prior_predictive_2,19,Figure 19,label_only,7 Prior predictive simulations,IRT plots,,,1,Prior / prior predictive,事前分布が現実的なデータ範囲を生成するかを見る。現場導入前に、あり得ない予測の比率をゲート化する。,"prior_spec_id, prior_predictive_seed, simulated_n, implausible_rate",https://avehtari.github.io/Bayesian-Workflow/multiple_choice/multiple_choice.html#fig-multiplechoice_prior_predictive_2,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/multiple_choice/multiple_choice.R,link_only_no_binary_copy_for_crc_book_site
